team_id,team_name,Squad,team_short_name,team_abbreviation,alt_abbreviation,league,team_hashid,Primary,Secondary,Tertiary,light_color,light_contrast,dark_color,dark_contrast,dark_alternate,Conference,Division,LinkSVG,LinkLogo,LocalLogo,Handle,Hashtag,ggplot2_dark,ggplot_dark_contrast,ggplot2_light,ggplot2_light_contrast
387,1. FC Köln,Köln,NA,KOE,KOL,Bundesliga,3Xj5YjXqbd,#ED1C24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,'387' = '','387' = '','387' = '','387' = ''
816,1. FC Union Berlin,Union Berlin,NA,FCU,FCU,Bundesliga,APk5LdE5OW,#EB1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,'816' = '','816' = '','816' = '','816' = ''
810,1. FSV Mainz 05,Mainz 05,NA,M05,MAI,Bundesliga,mvzqoNN5ap,#C3141E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,'810' = '','810' = '','810' = '','810' = ''
164,Bayer 04 Leverkusen,Leverkusen,NA,B04,LEV,Bundesliga,EeV5DVJQKn,#e32221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,'164' = '','164' = '','164' = '','164' = ''
157,Borussia Dortmund,Dortmund,NA,BVB,DOR,Bundesliga,p9z5kRKMA3,#FDE100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,'157' = '','157' = '','157' = '','157' = ''
683,Borussia Mönchengladbach,M'Gladbach,NA,BMG,GLA,Bundesliga,1p6qbb6q0G,#000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,'683' = '','683' = '','683' = '','683' = ''
155,DSC Arminia Bielefeld,Arminia,NA,DSC,ARM,Bundesliga,a2lqR2xqr0,#004E95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,'155' = '','155' = '','155' = '','155' = ''
159,Eintracht Frankfurt,Eint Frankfurt,NA,FFM,FRA,Bundesliga,PEGMPk0QaY,#e1000f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,'159' = '','159' = '','159' = '','159' = ''
1772,FC Augsburg,Augsburg,NA,FCA,AUG,Bundesliga,19vQ2x15K6,#46714d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,'1772' = '','1772' = '','1772' = '','1772' = ''
156,FC Bayern München,Bayern Munich,NA,BMU,BAY,Bundesliga,jwvq9WmMWn,#dc052d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,'156' = '','156' = '','156' = '','156' = ''
NA,SpVgg Greuther Fürth,Greuther Fürth,NA,NA,FUR,Bundesliga,NA,#009932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
